Machine_ID,Temperature,Run_Time,Downtime_Flag
Machine_7,92.41,16.12,yes
Machine_10,59.36,21.86,yes
Machine_8,31.94,10.94,no
Machine_1,22.46,12.77,no
Machine_2,26.17,21.22,yes
Machine_3,63.99,20.21,yes
Machine_1,60.62,12.64,yes
Machine_2,20.8,3.44,yes
Machine_6,68.7,14.68,no
Machine_5,90.83,6.66,yes
Machine_7,86.61,21.55,yes
Machine_9,56.14,0.21,yes
Machine_8,45.84,8.54,no
Machine_1,29.9,17.91,no
Machine_8,36.66,10.37,yes
Machine_6,41.44,5.94,no
Machine_4,39.79,16.72,yes
Machine_1,93.21,8.76,no
Machine_6,62.33,13.17,yes
Machine_8,26.55,12.97,yes
Machine_6,25.14,19.82,yes
Machine_7,75.46,18.81,no
Machine_6,78.78,7.89,no
Machine_6,58.06,16.12,yes
Machine_1,86.77,8.15,no
Machine_8,94.54,16.72,yes
Machine_3,52.33,6.91,no
Machine_8,89.57,7.77,no
Machine_2,94.73,4.97,yes
Machine_10,61.99,18.16,no
Machine_3,44.88,20.81,yes
Machine_2,71.98,5.18,no
Machine_3,22.51,5.68,no
Machine_7,85.27,16.96,no
Machine_6,70.65,19.63,no
Machine_3,49.43,21.07,no
Machine_2,46.87,21.03,yes
Machine_8,54.42,1.54,yes
Machine_9,88.57,12.18,yes
Machine_3,85.81,6.09,no
Machine_2,58.04,19.44,no
Machine_9,95.94,1.99,no
Machine_8,43.45,12.26,no
Machine_10,60.43,1.52,no
Machine_10,80.03,13.03,yes
Machine_9,29.72,15.51,no
Machine_2,69.38,8.17,yes
Machine_8,40.65,7.74,yes
Machine_7,62.33,15.2,no
Machine_1,32.92,10.17,yes
Machine_6,63.56,11.95,yes
Machine_9,33.11,12.4,no
Machine_8,24.73,13.65,yes
Machine_2,33.33,11.47,no
Machine_7,47.35,8.18,no
Machine_4,73.76,9.85,no
Machine_7,61.04,21.97,yes
Machine_3,28.7,19.67,no
Machine_3,49.14,7.82,no
Machine_3,31.64,23.24,no
Machine_2,72.95,5.14,no
Machine_9,38.69,7.91,no
Machine_5,30.73,1.5,yes
Machine_6,25.43,10.8,yes
Machine_7,89.93,13.02,yes
Machine_1,30.12,16.6,no
Machine_9,57.61,2.06,yes
Machine_6,59.83,5.31,yes
Machine_7,82.71,10.34,yes
Machine_7,82.47,22.86,yes
Machine_10,30.85,4.08,no
Machine_10,22.66,18.13,no
Machine_8,63.39,7.96,no
Machine_3,63.82,19.89,yes
Machine_4,90.31,4.61,no
Machine_3,21.68,5.5,no
Machine_10,41.87,20.87,no
Machine_7,66.28,20.34,yes
Machine_5,76.67,12.29,no
Machine_8,26.13,23.17,yes
Machine_3,76.64,2.13,no
Machine_4,67.04,20.81,no
Machine_10,49.33,13.73,yes
Machine_10,91.52,8.11,no
Machine_3,85.72,6.36,yes
Machine_8,97.19,18.4,yes
Machine_4,38.91,6.95,no
Machine_3,77.32,2.5,no
Machine_1,71.8,2.87,no
Machine_5,46.1,22.7,yes
Machine_1,75.24,2.03,no
Machine_3,70.4,5.61,no
Machine_9,23.05,7.29,no
Machine_6,45.91,8.24,yes
Machine_2,39.06,23.96,yes
Machine_4,35.57,0.3,yes
Machine_4,45.85,4.03,no
Machine_3,71.84,12.7,no
Machine_8,53.42,3.43,no
Machine_2,94.92,10.93,yes
Machine_9,44.18,7.34,no
Machine_9,49.18,9.25,yes
Machine_5,72.42,0.33,yes
Machine_10,65.76,6.59,yes
Machine_8,52.76,11.1,no
Machine_3,28.02,18.84,no
Machine_7,45.9,2.37,no
Machine_3,48.72,2.94,yes
Machine_5,76.99,19.94,no
Machine_10,40.94,7.92,no
Machine_1,85.68,0.96,yes
Machine_10,74.47,16.75,yes
Machine_3,99.57,10.78,yes
Machine_8,85.09,2.03,no
Machine_6,60.29,2.73,no
Machine_7,53.21,13.55,yes
Machine_5,94.4,5.88,yes
Machine_4,50.8,16.83,no
Machine_4,79.81,4.11,no
Machine_10,32.83,23.58,no
Machine_7,64.81,22.41,yes
Machine_6,87.53,7.81,no
Machine_4,38.27,15.06,no
Machine_8,39.38,23.71,yes
Machine_7,21.99,21.13,yes
Machine_9,80.82,20.48,yes
Machine_2,86.84,10.53,no
Machine_10,63.04,6.1,no
Machine_9,62.93,21.33,yes
Machine_2,28.46,2.63,no
Machine_6,21.34,22.72,yes
Machine_5,98.96,3.77,no
Machine_8,91.78,9.93,yes
Machine_6,80.04,15.96,no
Machine_10,21.31,4.0,no
Machine_6,58.03,12.77,yes
Machine_6,20.43,17.76,yes
Machine_4,24.48,9.24,yes
Machine_8,34.61,8.31,no
Machine_1,46.9,3.48,yes
Machine_10,65.95,23.37,yes
Machine_3,41.92,7.17,no
Machine_6,93.68,16.11,yes
Machine_8,27.25,9.43,yes
Machine_3,82.5,12.83,yes
Machine_7,99.59,20.82,no
Machine_2,74.54,19.8,yes
Machine_3,44.23,20.16,no
Machine_3,92.58,11.38,no
Machine_5,54.65,11.39,yes
Machine_3,37.64,5.29,no
Machine_10,36.93,7.88,yes
Machine_5,44.23,18.47,no
Machine_6,58.45,4.84,yes
